City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuktoyaktuk,75,CA,1635622816,93,69.4541,-133.0374,17.6,9.22
Bethel,90,US,1635622716,91,41.3712,-73.414,62.73,8.05
Isangel,0,VU,1635622817,75,-19.55,169.2667,77.4,4.5
Punta Arenas,0,CL,1635622711,43,-53.15,-70.9167,51.91,18.41
Vaini,40,TO,1635622818,88,-21.2,-175.2,75.36,9.22
Tiksi,95,RU,1635622818,96,71.6872,128.8694,-1.53,7.87
Yangi Marg`ilon,100,UZ,1635622819,70,40.4272,71.7189,43.52,6.91
Airai,35,TL,1635622819,91,-8.9266,125.4092,61.72,1.19
Esperance,6,AU,1635622819,70,-33.8667,121.9,53.44,14.97
São João da Barra,100,BR,1635622680,88,-21.6403,-41.0511,73.49,11.65
Bredasdorp,73,ZA,1635622820,88,-34.5322,20.0403,59.29,3.44
Grindavik,0,IS,1635622821,93,63.8424,-22.4338,39.15,10.36
Ushuaia,0,AR,1635622601,46,-54.8,-68.3,51.46,18.41
Ribeira Grande,75,PT,1635622771,83,38.5167,-28.7,70.2,18.41
Rikitea,100,PF,1635622821,85,-23.1203,-134.9692,75.0,21.14
Amurzet,18,RU,1635622822,47,47.6967,131.0981,29.86,8.66
Can Tho,40,VN,1635622822,94,10.0333,105.7833,78.78,4.61
Kodār,89,IN,1635622823,92,16.9833,79.9667,74.3,3.56
Cherskiy,100,RU,1635622824,98,68.75,161.3,-0.9,5.59
Salalah,0,OM,1635622659,65,17.0151,54.0924,82.49,5.75
Castro,73,BR,1635622696,84,-24.7911,-50.0119,67.64,9.35
Sept-Îles,40,CA,1635622824,72,50.2001,-66.3821,50.52,4.0
Lagos,100,NG,1635622592,86,6.5833,3.75,82.72,4.83
Banda Aceh,100,ID,1635622825,82,5.5577,95.3222,78.3,5.39
Abéché,79,TD,1635622826,16,13.8292,20.8324,85.77,7.9
Ponta do Sol,32,PT,1635622773,77,32.6667,-17.1,74.03,7.25
Pevek,100,RU,1635622827,96,69.7008,170.3133,-2.96,10.63
Lake Charles,1,US,1635622827,41,30.2131,-93.2044,75.18,9.22
Carnarvon,0,AU,1635622682,68,-24.8667,113.6333,66.27,16.11
Arraial do Cabo,75,BR,1635622828,83,-22.9661,-42.0278,73.26,12.66
Tierralta,96,CO,1635622828,71,8.1736,-76.0592,84.7,1.41
Cape Town,0,ZA,1635622796,74,-33.9258,18.4232,64.09,1.99
Yibin,100,CN,1635622601,94,28.7667,104.6238,60.35,3.87
Paamiut,100,GL,1635622830,79,61.994,-49.6678,31.87,13.78
Pemangkat,37,ID,1635622830,84,1.1667,108.9667,79.12,1.68
Leningradskiy,99,RU,1635622831,96,69.3833,178.4167,-2.0,6.06
Sittwe,44,MM,1635622831,80,20.15,92.9,78.57,4.83
Plettenberg Bay,2,ZA,1635622832,91,-34.0527,23.3716,59.09,3.36
Pampierstad,0,ZA,1635622540,30,-27.7832,24.6877,67.89,7.14
Mount Isa,55,AU,1635622832,23,-20.7333,139.5,74.97,10.36
Pombia,75,IT,1635622833,88,45.653,8.6336,52.52,8.05
Tasiilaq,83,GL,1635622833,62,65.6145,-37.6368,24.96,6.17
Dudinka,100,RU,1635622834,96,69.4058,86.1778,11.77,4.0
Saint Paul Harbor,90,US,1635622834,87,57.79,-152.4072,47.71,29.93
Bluff,89,NZ,1635622835,66,-46.6,168.3333,54.91,20.27
Belaya Gora,99,RU,1635622835,98,68.5333,146.4167,0.52,4.32
Norman Wells,90,CA,1635622836,93,65.282,-126.8329,17.64,5.75
Barrow,90,US,1635622836,86,71.2906,-156.7887,15.82,5.75
Namatanai,95,PG,1635622837,80,-3.6667,152.4333,80.29,6.96
Sol'vychegodsk,100,RU,1635622837,100,61.3305,46.9156,38.57,4.54
Nantucket,100,US,1635622838,90,41.2835,-70.0995,63.97,21.92
Kushmurun,100,KZ,1635622839,75,52.4503,64.6311,41.52,21.07
Guerrero Negro,0,MX,1635622839,51,27.9769,-114.0611,75.69,11.27
Albany,96,US,1635622840,89,42.6001,-73.9662,60.22,3.0
Alofi,100,NU,1635622840,78,-19.0595,-169.9187,76.89,10.36
New Norfolk,83,AU,1635622840,60,-42.7826,147.0587,52.92,4.0
Mataura,100,NZ,1635622841,56,-46.1927,168.8643,55.26,8.21
Mehamn,93,NO,1635622841,76,71.0357,27.8492,38.53,4.47
Saint-Philippe,100,RE,1635622842,80,-21.3585,55.7679,71.15,4.12
Mahébourg,40,MU,1635622842,88,-20.4081,57.7,71.89,3.44
Melville,20,US,1635622843,77,40.7934,-73.4151,64.85,1.99
Riyadh,38,SA,1635622843,37,24.6877,46.7219,77.14,7.61
Puerto Ayora,91,EC,1635622844,80,-0.7393,-90.3518,76.96,8.55
Butaritari,39,KI,1635622604,72,3.0707,172.7902,82.53,6.44
Hermanus,77,ZA,1635622844,83,-34.4187,19.2345,61.9,9.69
Atuona,5,PF,1635622845,67,-9.8,-139.0333,77.85,17.27
Raudeberg,100,NO,1635622650,61,61.9875,5.1352,52.47,5.99
Yellowknife,40,CA,1635622676,84,62.456,-114.3525,30.42,7.0
East London,78,ZA,1635622562,85,-33.0153,27.9116,65.16,8.08
Mvomero,95,TZ,1635622846,89,-6.25,38.6667,78.55,2.62
Sitka,75,US,1635622846,61,57.0531,-135.33,48.09,11.5
Goderich,100,CA,1635622848,71,43.7501,-81.7165,52.92,6.91
College,90,US,1635622848,71,64.8569,-147.8028,41.32,6.91
Gigmoto,100,PH,1635622849,71,13.7796,124.39,80.26,12.68
Zhangaözen,0,KZ,1635622849,62,43.3,52.8,46.99,3.51
Toora-Khem,100,RU,1635622850,80,52.4675,96.11,28.78,3.87
Dingle,98,PH,1635622850,90,10.9995,122.6711,74.91,8.46
Palmer,90,US,1635622851,84,42.1584,-72.3287,61.0,1.01
Husavik,100,IS,1635622852,90,66.0449,-17.3389,40.91,16.98
Necochea,100,AR,1635622852,75,-38.5473,-58.7368,58.03,20.51
Busselton,87,AU,1635622624,90,-33.65,115.3333,43.05,6.08
Narsaq,89,GL,1635622853,70,60.9167,-46.05,30.42,4.43
Tura,0,IN,1635622607,67,25.5198,90.2201,64.24,2.98
Severo-Kuril'sk,67,RU,1635622683,84,50.6789,156.125,39.92,10.89
Faanui,16,PF,1635622853,69,-16.4833,-151.75,78.15,16.73
Saint George,1,US,1635622677,36,37.1041,-113.5841,81.07,5.99
Pochutla,44,MX,1635622854,61,15.7432,-96.4661,87.62,7.81
Port Alfred,69,ZA,1635622854,89,-33.5906,26.891,63.97,7.49
Nizhniy Odes,100,RU,1635622855,90,63.6445,54.856,24.26,0.63
Ketchikan,20,US,1635622855,81,55.3422,-131.6461,45.07,0.0
Venado Tuerto,1,AR,1635622856,19,-33.7456,-61.9688,93.78,8.81
Escanaba,1,US,1635622856,52,45.7453,-87.0646,61.25,5.75
Kharp,13,RU,1635622857,91,66.8014,65.8081,3.06,8.32
Hithadhoo,100,MV,1635622608,75,-0.6,73.0833,82.87,18.43
Qaanaaq,0,GL,1635622727,53,77.484,-69.3632,2.16,8.72
Mahon,75,ES,1635622858,88,39.8885,4.2658,70.36,10.36
Vila Velha,75,BR,1635622858,94,-20.3297,-40.2925,73.35,10.36
Sulangan,50,PH,1635622858,76,11.1373,123.7228,82.76,23.13
Vardø,93,NO,1635622859,76,70.3705,31.1107,38.86,7.47
Alta Floresta,20,BR,1635622859,58,-9.8756,-56.0861,89.42,4.61
Ust-Maya,63,RU,1635622860,100,60.4167,134.5333,-6.29,1.05
Kapaa,1,US,1635622860,90,22.0752,-159.319,80.58,3.44
Tucuruí,65,BR,1635622860,50,-3.7661,-49.6725,88.92,1.1
Prijepolje,0,RS,1635622861,81,43.3719,19.6406,47.48,4.43
Ca Mau,90,VN,1635622862,96,9.1769,105.15,76.24,4.83
Jamestown,90,US,1635622863,88,42.097,-79.2353,55.09,1.99
Alghero,20,IT,1635622864,88,40.5589,8.3181,64.49,10.36
Teberda,5,RU,1635622864,82,43.4456,41.7448,41.09,6.64
Ilulissat,75,GL,1635622865,74,69.2167,-51.1,32.02,2.3
Westport,90,US,1635622865,90,41.1415,-73.3579,65.05,1.01
Waipawa,13,NZ,1635622866,55,-41.4122,175.5153,58.46,13.73
Vestmannaeyjar,75,IS,1635622866,78,63.4427,-20.2734,43.74,5.48
Port Elizabeth,5,ZA,1635622867,93,-33.918,25.5701,59.09,3.47
Shellbrook,57,CA,1635622867,45,53.2168,-106.4011,36.63,14.23
Clyde River,90,CA,1635622868,100,70.4692,-68.5914,28.63,19.57
Hobyo,5,SO,1635622846,70,5.3505,48.5268,80.47,14.47
Nevşehir,0,TR,1635622869,70,38.9167,34.6667,42.01,3.44
Ushtobe,100,KZ,1635622695,56,45.2514,77.9838,49.28,3.4
Tsabong,0,BW,1635622870,20,-26.0217,22.401,73.8,6.64
Trairi,21,BR,1635622631,70,-3.2778,-39.2689,81.57,10.33
Cap Malheureux,7,MU,1635622870,84,-19.9842,57.6142,72.09,6.13
Urmia,75,IR,1635622871,93,37.5527,45.0761,45.95,6.91
Marsá Maţrūḩ,40,EG,1635622871,83,31.3525,27.2453,70.0,5.75
Nabire,86,ID,1635622872,92,-3.3667,135.4833,74.55,3.69
Hasaki,84,JP,1635622651,60,35.7333,140.8333,52.2,6.15
Arlit,62,NE,1635622873,17,18.7369,7.3853,86.77,17.49
Verkhoyansk,53,RU,1635622873,100,67.5447,133.385,-13.85,2.62
Sakakah,100,SA,1635622874,25,29.9697,40.2064,80.17,6.73
Chkalovsk,70,RU,1635622874,95,56.7647,43.2433,42.39,10.16
Wajir,49,KE,1635622875,46,1.7471,40.0573,85.62,11.14
Provideniya,88,RU,1635622875,83,64.3833,-173.3,12.6,10.6
Hobart,40,AU,1635622876,66,-42.8794,147.3294,53.26,3.0
Trat,100,TH,1635622876,94,12.5,102.5,82.98,2.68
Katobu,98,ID,1635622877,94,-4.9408,122.5276,74.46,1.63
Dikson,100,RU,1635622877,92,73.5069,80.5464,6.87,16.6
Maceió,40,BR,1635622878,61,-9.6658,-35.7353,85.44,11.5
Whitianga,100,NZ,1635622878,97,-36.8333,175.7,63.01,14.63
Grand Gaube,8,MU,1635622879,84,-20.0064,57.6608,72.0,7.63
Minyar,100,RU,1635622880,98,55.0709,57.5485,39.69,6.82
Singkang,100,MY,1635622880,94,2.1006,102.7994,76.89,2.42
Mar del Plata,75,AR,1635622581,76,-38.0023,-57.5575,68.02,21.0
Avarua,20,CK,1635622606,64,-21.2078,-159.775,75.25,16.11
Jiayuguan City,29,CN,1635622882,41,39.8167,98.3,37.94,5.82
Mayumba,95,GA,1635622882,90,-3.432,10.6554,77.5,7.72
Khatanga,60,RU,1635622629,100,71.9667,102.5,-6.43,3.06
Springdale,1,US,1635622883,51,36.1867,-94.1288,64.27,8.99
Half Moon Bay,75,US,1635622700,85,37.4636,-122.4286,71.42,1.99
Chui,87,UY,1635622647,75,-33.6971,-53.4616,71.24,13.73
Mezen',100,RU,1635622884,97,65.8522,44.24,31.42,4.29
Hervey Bay,99,AU,1635622649,86,-25.2986,152.8535,76.03,11.56
Oranjemund,0,NA,1635622884,90,-28.55,16.4333,60.64,6.91
Khovd,97,MN,1635622885,51,48.0056,91.6419,34.48,5.3
Korla,57,CN,1635622882,33,41.7597,86.1469,48.79,0.69
Isabela,45,PH,1635622886,82,6.7085,121.9711,79.11,2.64
Bengkulu,100,ID,1635622886,91,-3.8004,102.2655,75.83,4.54
Christchurch,0,NZ,1635622725,44,-43.5333,172.6333,63.03,10.36
Guane,9,CU,1635622887,48,22.2025,-84.0875,82.08,14.29
Gushikawa,1,JP,1635622887,91,26.3544,127.8686,72.63,3.44
Chimbarongo,100,CL,1635622888,21,-34.7,-71.05,88.18,8.28
George Town,20,MY,1635622836,93,5.4112,100.3354,78.89,3.0
Japura,21,ID,1635622889,97,-0.3167,102.35,74.17,1.57
Nosy Varika,92,MG,1635622889,84,-20.5833,48.5333,72.18,5.57
Kovernino,100,RU,1635622889,95,57.1253,43.8142,46.94,8.39
Kourou,44,GF,1635622890,71,5.1552,-52.6478,87.85,5.82
Fortuna,90,US,1635622890,75,40.5982,-124.1573,65.43,1.01
Maxixe,0,MZ,1635622891,78,-23.8597,35.3472,71.42,9.22
Cockburn Town,40,TC,1635622728,61,21.4612,-71.1419,84.16,9.22
Itapaci,100,BR,1635622891,81,-14.9508,-49.5494,73.54,9.13
Yefremov,10,RU,1635622892,89,53.1481,38.0992,43.3,7.61
The Valley,40,AI,1635622593,65,18.217,-63.0578,89.46,12.66
Morondava,51,MG,1635622830,71,-20.2833,44.2833,75.76,8.39
Onega,100,RU,1635622892,91,63.9061,38.1404,42.57,9.84
Nanortalik,20,GL,1635622722,75,60.1432,-45.2371,34.02,3.74
Upernavik,100,GL,1635622688,57,72.7868,-56.1549,26.56,7.58
Altamira,40,BR,1635622893,55,-3.2033,-52.2064,91.49,3.44
Kavajë,0,AL,1635622894,50,41.1856,19.5569,50.16,2.86
Masunga,64,BW,1635622895,38,-20.6246,27.4488,75.38,2.71
Athabasca,0,CA,1635622895,34,54.7169,-113.2854,38.23,14.81
Torbay,20,CA,1635622896,66,47.6666,-52.7314,48.97,5.75
Mossamedes,84,AO,1635622897,73,-15.1961,12.1522,68.25,8.01
Glendive,90,US,1635622897,64,47.1053,-104.7125,48.83,18.41
Port Shepstone,48,ZA,1635622898,85,-30.7414,30.455,64.65,9.04
La Rioja,100,ES,1635622898,76,42.25,-2.5,55.04,6.02
Shakawe,28,BW,1635622898,38,-18.3667,21.85,81.3,3.83
Port Lincoln,0,AU,1635622834,75,-34.7333,135.8667,52.65,9.01
Abhā,0,SA,1635622900,34,18.2164,42.5053,62.42,6.91
Perdika,0,GR,1635622901,57,39.3689,20.3039,58.06,4.76
Paso de los Toros,0,UY,1635622903,60,-32.8167,-56.5167,88.14,8.05
Nikel,100,RU,1635622904,91,69.4128,30.222,19.58,1.61
Batagay-Alyta,28,RU,1635622904,88,67.8006,130.4114,-14.3,4.63
Camapuã,79,BR,1635622908,56,-19.5314,-54.0439,83.57,1.45
Redlands,1,US,1635622748,36,34.0556,-117.1825,87.28,0.0
Balkanabat,71,TM,1635622881,48,39.5108,54.3671,58.59,4.21
Taoudenni,1,ML,1635622840,24,22.6783,-3.9836,87.87,4.88
Pangnirtung,90,CA,1635622909,87,66.1451,-65.7125,35.6,11.5
Orlik,100,RU,1635622910,68,52.5178,99.825,26.82,3.6
Honningsvåg,100,NO,1635622910,60,70.9821,25.9704,41.85,5.73
Wuwei,2,CN,1635622911,43,37.9281,102.6414,39.51,1.14
Coquimbo,75,CL,1635622672,77,-29.9533,-71.3436,60.53,13.8
Lebu,100,CL,1635622911,69,-37.6167,-73.65,55.71,15.82
Ahipara,100,NZ,1635622912,94,-35.1667,173.1667,61.86,7.87
Coahuayana Viejo,8,MX,1635622912,59,18.7333,-103.6833,89.08,5.77
Kovdor,100,RU,1635622913,99,67.5662,30.4758,33.15,3.0
Longyearbyen,75,SJ,1635622865,68,78.2186,15.6401,24.64,5.75
Mehendiganj,12,BD,1635622914,71,22.8167,90.5333,74.48,7.65
Saskylakh,100,RU,1635622914,94,71.9167,114.0833,8.26,10.63
Predivinsk,100,RU,1635622915,61,57.0669,93.4378,27.23,6.76
Houma,40,US,1635622729,59,29.5958,-90.7195,69.01,12.66
Kruisfontein,0,ZA,1635622663,93,-34.0033,24.7314,56.88,1.5
Chokurdakh,100,RU,1635622915,98,70.6333,147.9167,-0.24,5.3
Northam,17,GB,1635622916,93,51.0333,-4.2167,54.09,11.41
Flinders,0,AU,1635622917,80,-34.5833,150.8552,54.81,1.01
Gawler,0,AU,1635622917,84,-34.6,138.7333,49.46,6.4
Haines Junction,100,CA,1635622918,56,60.7522,-137.5108,39.15,8.05
Pandan,100,PH,1635622918,73,14.0453,124.1694,80.08,14.03
Omboué,100,GA,1635622918,90,-1.5746,9.2618,77.27,6.91
Ciudad de Armería,0,MX,1635622919,59,18.9333,-103.9667,88.9,6.49
Thompson,75,CA,1635622920,75,55.7435,-97.8558,37.56,11.5
Hilo,1,US,1635622753,70,19.7297,-155.09,81.25,3.44
Florianópolis,90,BR,1635622920,89,-27.6146,-48.5012,69.62,1.01
Nikolskoye,95,RU,1635622920,93,59.7035,30.7861,45.81,7.47
Codrington,3,AU,1635622921,95,-38.2667,141.9667,41.32,8.1
Saldanha,54,ZA,1635622922,88,-33.0117,17.9442,62.65,13.22
Chikola,2,RU,1635622922,81,43.1906,43.9209,41.85,3.04
Atasū,100,KZ,1635622923,65,48.6814,71.6433,38.44,14.25
Moratuwa,93,LK,1635622923,90,6.773,79.8816,73.42,4.74
Bathsheba,20,BB,1635622924,58,13.2167,-59.5167,86.61,14.97
Pisco,0,PE,1635622836,82,-13.7,-76.2167,66.02,10.36
Makassar,40,ID,1635622924,100,-5.14,119.4221,75.25,2.3
Lerwick,100,GB,1635622925,93,60.1545,-1.1494,48.2,2.55
Greeneville,90,US,1635622779,89,36.1632,-82.831,55.33,8.05
Chaupāl,0,IN,1635622927,59,30.95,77.5833,40.35,4.52
Iqaluit,90,CA,1635622927,69,63.7506,-68.5145,37.13,13.0
Xai-Xai,100,MZ,1635622928,87,-25.0519,33.6442,69.57,1.21
Kahului,1,US,1635622737,66,20.8947,-156.47,81.66,8.05
Aklavik,75,CA,1635622928,92,68.2191,-135.0107,16.63,5.75
Mayo,1,US,1635622929,70,38.8876,-76.5119,65.57,3.0
Jalu,0,LY,1635622659,40,29.0331,21.5482,70.14,7.67
Banjar,100,ID,1635622650,89,-8.19,114.9675,76.91,1.95
Buenos Aires,0,AR,1635622731,56,-34.6132,-58.3772,91.02,9.22
Vostok,100,RU,1635622930,82,46.4856,135.8833,32.9,1.63
Forsytheganj,23,BY,1635622930,73,52.6333,29.7333,44.51,10.16
Kloulklubed,100,PW,1635622931,79,7.0419,134.2556,77.5,16.91
Energetik,100,RU,1635622931,74,51.7445,58.7934,42.15,14.58
Los Llanos de Aridane,20,ES,1635622932,81,28.6585,-17.9182,65.95,1.99
Polis,13,CY,1635622932,83,35.0367,32.4264,69.62,3.47
Pacific Grove,1,US,1635622933,85,36.6177,-121.9166,69.15,3.0
Yumen,26,CN,1635622933,45,40.2833,97.2,37.74,6.22
Maputo,75,MZ,1635622934,84,-25.9653,32.5892,66.22,5.99
Talnakh,100,RU,1635622934,96,69.4865,88.3972,14.14,5.19
Neuquén,0,AR,1635622916,28,-38.9516,-68.0591,69.69,6.91
Dubno,52,UA,1635622935,64,50.4169,25.7343,48.88,14.36
Kragerø,100,NO,1635622936,94,58.8693,9.4149,54.57,20.45
Fethiye,100,TR,1635622936,67,36.6217,29.1164,64.27,3.18
Bhag,0,PK,1635622936,14,29.0415,67.8239,77.25,4.9
Ukiah,1,US,1635622803,75,39.1502,-123.2078,66.15,11.5
Katsuura,100,JP,1635622937,64,35.1333,140.3,57.31,3.2
Muisne,23,EC,1635622937,73,0.6,-80.0333,82.51,9.69
Sayansk,66,RU,1635622938,89,54.1088,102.1648,28.47,3.83
Biak,100,ID,1635622923,85,-0.9131,122.8766,75.97,3.42
Caravelas,98,BR,1635622938,81,-17.7125,-39.2481,75.99,7.65
Mocuba,0,MZ,1635622939,69,-16.8392,36.9856,70.2,4.76
Tual,73,ID,1635622939,72,-5.6667,132.75,83.16,6.04
Bonthe,100,SL,1635622940,89,7.5264,-12.505,75.87,5.3
Nybro,100,SE,1635622940,89,56.7446,15.9071,47.73,4.32
Cohoes,75,US,1635622940,91,42.7742,-73.7001,61.83,5.01
São Félix do Xingu,99,BR,1635622941,42,-6.6447,-51.995,91.42,3.33
Saint-Augustin,6,CA,1635622942,52,51.226,-58.6502,48.22,6.44
Adrar,100,MR,1635622723,16,20.5022,-10.0711,83.48,11.88
Cayenne,20,GF,1635622825,78,4.9333,-52.3333,87.84,4.0
Chapais,92,CA,1635622857,50,49.7834,-74.8492,53.38,7.05
Rusape,77,ZW,1635622942,41,-18.5278,32.1284,71.6,3.67
Cidreira,33,BR,1635622943,83,-30.1811,-50.2056,69.44,23.29
Carutapera,36,BR,1635622944,78,-1.195,-46.02,81.12,6.17
Laas,100,IT,1635622878,81,46.6166,10.7002,49.08,2.91
Buchanan,94,LR,1635622944,89,5.8808,-10.0467,78.76,2.24
Bollnäs,100,SE,1635622944,98,61.3482,16.3946,42.39,1.03
Caucaia,20,BR,1635622945,75,-3.7361,-38.6531,84.15,12.66
